Paragraph,Mean Posting List Size,Std Dev Posting List Size
0,16,0
50,24.949152542372882,53.865732971410985
100,26.80745341614907,94.5977765242322
150,28.46908315565032,126.4865955437614
200,29.82857142857143,107.57242328469988
250,32.895893819991706,135.6433964915289
300,37.600408788962696,177.54760928102274
350,42.242091944327285,214.08011704946014
400,45.313967235264315,252.67166975408983
450,49.16502732240437,299.3461254478294
500,50.74121175764847,327.4044062107443
550,52.31638418079096,345.374760858076
600,54.381033022861985,367.8767516883914
650,55.488802136839944,379.40870591872226
700,56.94601542416452,395.88606667283096
750,57.91665889810758,414.8838478483682
800,59.40463065049614,445.2798700923428
850,60.61638306292046,471.15274910417503
900,62.41633709642626,508.9720000447231
950,63.0705324783942,520.4842904586471
1000,63.07495798319328,526.6897850813438
1050,64.19675482304842,550.026611781432
1100,65.02800416692199,571.9015273264054
1150,67.01897367038356,604.0414956655025
1200,68.08270847534651,622.3762194816404
1250,69.85392701854808,650.306550249405
1300,70.9296131896005,673.1119707180261
1350,71.80064242047456,690.8317695907375
1400,72.75385080036243,713.8894671193779
1450,73.93610537697828,737.6339832822797
1500,75.07981942176544,759.8693334804894
1550,75.45206256201861,767.6805701191
1600,76.66347040383552,791.8742066409187
1650,77.75875204063124,810.893639557275
1700,78.73123659756969,826.95030544795
1750,79.90244327337659,853.293725629735
1800,80.88559249786871,874.2506062112831
1850,82.18124376454938,901.575895041659
1900,83.55587914088096,930.8544842058877
1950,84.01466602901323,945.6927179724897
2000,84.5425519334621,956.9978542666031
2050,85.48961058950285,981.3624563966147
2100,86.15860559873236,998.5517060178279
2150,86.7702346965259,1013.7455304035615
2200,87.61191316047857,1035.1142759205854
2250,87.94528592401619,1044.695399134118
2300,88.61621011013838,1060.0404887256884
2350,88.85782964640306,1069.4232373456778
2400,89.37423651609787,1080.9669188768755
2450,89.87158469945355,1090.5922003406852
2500,90.37326659000203,1102.553263872686
2550,90.6930480566082,1110.7859096374782
2600,91.31580345285525,1121.8377918447352
2650,91.82002826437046,1134.1280834608174
2700,92.53002959060905,1148.734663463168
2750,93.0086129322535,1160.8457506145032
2800,93.66168742236519,1173.642658342513
2850,93.97922045211259,1184.6493405830024
2900,94.23354300305162,1193.2177349535343
2950,94.84952145723989,1205.516562277567
3000,95.73848763936016,1229.2087281618524
3050,96.85288306089456,1249.72487796897
3100,97.52149709818785,1265.1978272070633
3150,98.2689859493708,1279.016759320498
3200,99.48757701096231,1305.2579181067342
3250,100.53894205971689,1327.6540422832707
3300,101.44757789401865,1346.5872626362461
3350,102.2488349103234,1363.373463015329
3400,103.37414889741937,1384.8209862548317
3450,104.56879101323545,1409.0529242679784
3500,105.3163434903047,1423.3535777116008
3550,106.44164142109612,1442.8579049955724
3600,107.54820514224693,1464.0508543678616
3650,108.578147966683,1481.3315658613483
3700,109.77795878471939,1499.5786984770943
3750,110.1546433487167,1509.0984095164197
3800,110.31088640275387,1513.396063267478
3850,110.42647176933579,1517.314862546722
3900,110.6133105983908,1522.8647851236328
3950,110.71127843469961,1527.6851225136543
4000,110.7944770671322,1529.8445675334774
4050,111.0173814720345,1537.8907659285958
4100,111.13165134009274,1542.1843890274808
4150,111.28880536632475,1547.2230975138148
4200,111.39466645893381,1552.8097720809083
4250,111.40464636035105,1557.7987230239096
4300,111.52176711376568,1561.2851703538167
4350,111.76194140885536,1567.331012474132
4400,111.98975908241378,1571.7433052625079
4450,112.18289567794012,1576.3045528659093
4500,112.41929489627084,1582.4416106360065
4550,112.6783886496073,1589.7194376476932
4600,112.82683259978752,1592.271197777286
4650,112.99530705959529,1595.862747827582
4700,113.18020579134067,1601.048960992724
4750,113.32318742308948,1604.3517918268576
4800,113.42090749561294,1606.6245315985611
4850,113.63293893989044,1611.154468450602
4900,113.72190324030156,1613.6703776245622
4950,113.90520807376028,1616.5600502912498
5000,114.13147756928048,1621.7052836300873
5050,114.32981759523514,1625.6283353883728
5100,114.69201445616119,1632.5974244028853
5150,114.98096155270761,1639.0132660584436
5200,115.30531605656009,1645.509043507714
5250,115.59182870768701,1651.1335834344218
5300,115.74619687898715,1654.6374449004381
5350,116.04462057830618,1661.4654493167336
5400,116.78366230213015,1673.288826495874
